2,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,,
3,BankName,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id
40,fedfina,,,1.0010000000000001,3,1.0010000000000001,3,,,,,,,,,,,,,1.145,2,,,1.145,2,0.617,4,,,0.617,4,0.205,1,,,0.205,1,0.267,1,,,0.267,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.235,10
41,Finnable PL,,,,,,,,,,,,,0.017,1,,,0.017,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017,1
42,FinnablePLTeam,,,,,,,,,,,,,0.018,1,,,0.018,1,0.11,5,,,0.11,5,0.015,1,,,0.015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143,7
43,FinTree Financial Services(Secured and Unsecured),,,,,,,0.065,2,,,0.065,2,,,,,,,,,,,,,0.1,2,,,0.1,2,,,,,,,0.13,2,,,0.13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.295,6
44,FT Cash(Unsecured),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,,,0.05,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1
45,Fullerton - Personal Loans,,,,,,,0.064,1,,,0.064,1,0.024,1,,,0.024,1,0.079,2,,,0.079,2,0.08,3,,,0.08,3,0.022,1,,,0.022,1,,,,,,,0.052000000000000005,2,,,0.052000000000000005,2,,,,,,,0.026,1,,,0.026,1,,,,,,,,,,,,,,,,,0.036,1,,,0.036,1,0.38300000000000006,12
46,Fullerton - Self Employed BL,,,,,,,,,,,,,,,,,,,0.17200000000000001,2,,,0.17200000000000001,2,,,,,,,0.101,2,,,0.101,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.273,4
47,Fullerton Housing Finance (Grihashakti),,,,,,,2.816,20,0.358,1,3.174,21,3.427,23,0.16999999999999998,2,3.597,25,3.07,18,,,3.07,18,0.591,5,0.71,2,1.301,7,1.6090000000000002,10,0.41,2,2.019,11,1.814,8,,,1.814,8,0.817,7,,,0.817,7,,,0.042,1,0.042,1,,,,,,,,,,,,,0.227,1,0.227,1,,,,,,,,,,,,,16.061000000000007,96
48,Fullerton India,,,0.65,2,0.65,2,0.958,6,0.345,2,1.3030000000000002,8,5.6690000000000005,7,0.12,1,5.789000000000001,8,2.015,8,0.522,1,2.5370000000000004,9,2.13,7,,,2.13,7,0.23399999999999999,2,,,0.23399999999999999,2,0.129,1,,,0.129,1,,,,,,,,,,,,,,,,,,,0.021,1,,,0.021,1,,,,,,,,,,,,,,,,,12.793,36
49,Fullerton Retail (LAP + Unsecured < 5 Crore),,,,,,,,,,,,,,,,,,,,,,,,,0.037,1,,,0.037,1,,,,,,,0.135,1,,,0.135,1,,,,,,,,,,,,,,,,,,,,,,,,,0.078,1,0.078,1,,,,,,,,,,,,,0.25,3
50,Hdb Financial Services Ltd.,,,,,,,,,,,,,0.5529999999999999,2,,,0.5529999999999999,2,0.26,1,,,0.26,1,0.53,1,,,0.53,1,0.28800000000000003,2,,,0.28800000000000003,2,0.8150000000000001,2,,,0.8150000000000001,2,0.88,1,,,0.88,1,,,,,,,1,1,,,1,1,0.6040000000000001,3,,,0.6040000000000001,3,,,,,,,,,,,,,,,,,4.930000000000001,11
51,HDFC BANK HOME LOAN,,,0.5700000000000001,2,0.5700000000000001,2,3.2950000000000004,12,0.73,2,4.025,14,4.891,19,,,4.891,19,3.2819999999999996,12,,,3.2819999999999996,12,5.920999999999999,19,,,5.920999999999999,19,4.715,17,,,4.715,17,9.229000000000003,22,,,9.229000000000003,22,2.4680000000000004,12,,,2.4680000000000004,12,1.496,4,,,1.496,4,0.726,3,,,0.726,3,,,,,,,,,,,,,,,,,,,,,,,37.323000000000015,115
52,HDFC BANK LTD,,,0.167,1,0.167,1,0.132,1,3.31,2,3.442,3,12.124,1,,,12.124,1,9.7,2,,,9.7,2,0.013,1,,,0.013,1,1.913,3,,,1.913,3,4.065,5,,,4.065,5,5.5,6,,,5.5,6,,,,,,,0.494,1,,,0.494,1,,,,,,,,,,,0,1,,,0,1,0.532,1,,,0.532,1,37.95,21
53,HDFC Bank LTD LAP Team,0.69,1,1.95,1,2.6399999999999997,2,0.55,1,0.33,1,0.8800000000000001,2,,,6.5,1,6.5,1,2.11,2,,,2.11,2,,,,,,,,,,,,,,,,,,,7.683,1,,,7.683,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.813,8
54,HDFC Limited,,,,,,,0.386,4,,,0.386,4,0.042,1,,,0.042,1,0.003,1,,,0.003,1,0.26,2,,,0.26,2,0.755,4,,,0.755,4,0.394,6,,,0.394,6,1.5070000000000001,5,,,1.5070000000000001,5,0.73,3,,,0.73,3,0.617,3,,,0.617,3,,,,,,,0.04,1,0.04,1,,,,,,,0.535,2,,,0.535,2,5.269,20
55,HDFC LIMITED - LAP and Home Loan,0.15,2,,,0.15,2,3.465,18,,,3.465,18,0.751,11,,,0.751,11,1.685,13,,,1.685,13,1.4130000000000003,14,,,1.4130000000000003,14,3.7510000000000003,20,,,3.7510000000000003,20,1.554,12,,,1.554,12,8.126000000000001,14,,,8.126000000000001,14,2.715,19,0.4,1,3.115,20,1.246,8,,,1.246,8,3.831,16,,,3.831,16,0.322,3,0.322,3,0.079,3,,,0.079,3,0.277,12,,,0.277,12,29.76500000000001,134
56,Hero Fincorp Ltd (LAP),,,,,,,0.152,1,,,0.152,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.152,1
57,Hero Fincorp Ltd (Unsecured BL Team),,,0.051,1,0.051,1,0.018,1,,,0.018,1,0.049,2,,,0.049,2,0.051,1,,,0.051,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16899999999999998,5
58,Hero Fincorp Ltd (Unsecured PL Team),,,,,,,0.015,1,,,0.015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,1
59,Hero Fincorp Ltd_PLTeam,0.012,1,,,0.012,1,0.09999999999999999,3,,,0.09999999999999999,3,0.056999999999999995,3,,,0.056999999999999995,3,0.034,1,,,0.034,1,0.132,4,,,0.132,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.335,10
60,Hero Housing Finance,,,,,,,0.067,1,,,0.067,1,,,,,,,,,,,,,,,,,,,,,,,,,0.255,2,,,0.255,2,0.366,3,,,0.366,3,0.204,1,,,0.204,1,0.98,2,,,0.98,2,0.175,1,,,0.175,1,,,,,,,,,,,,,,,,,2.047,8
61,ICICI BANK LTD  - Working Capital,,,,,,,,,,,,,0.43,1,,,0.43,1,,,,,,,0.45,1,,,0.45,1,1.1,1,,,1.1,1,0.5,1,,,0.5,1,0.747,3,,,0.747,3,1.41,3,,,1.41,3,,,,,,,1.111,3,,,1.111,3,,,,,,,,,,,,,,,,,5.748,12
62,ICICI BANK(Business Loan),,,,,,,,,,,,,,,,,,,0.03,1,,,0.03,1,0.07,1,,,0.07,1,,,,,,,,,,,,,0.11,2,,,0.11,2,0.192,3,,,0.192,3,0.14100000000000001,3,,,0.14100000000000001,3,0.20400000000000001,5,,,0.20400000000000001,5,,,,,,,,,,,,,,,,,0.7469999999999999,15
63,ICICI Home Finance (HL & LAP Team),,,,,,,0.273,1,,,0.273,1,0.513,3,0.12,1,0.6329999999999999,4,0.004,1,,,0.004,1,1.1960000000000002,5,,,1.1960000000000002,5,3.439,18,,,3.439,18,1.179,7,,,1.179,7,1.471,8,,,1.471,8,1.9209999999999998,6,,,1.9209999999999998,6,0.476,2,,,0.476,2,1.6919999999999997,5,,,1.6919999999999997,5,,,,,,,,,,,,,,,,,12.284,48
64,ICICI Mortgage,,,,,,,1,1,2.01,4,3.0100000000000002,5,2.169,6,,,2.169,6,,,,,,,0.997,2,,,0.997,2,,,,,,,,,,,,,,,0.325,1,0.325,1,1.164,3,,,1.164,3,,,,,,,,,,,,,0.324,1,0.324,1,,,,,,,,,,,,,7.989,17
65,ICICI Retail,,,,,,,2.404,3,0.42,2,2.824,5,3.708999999999999,13,,,3.708999999999999,13,3.4090000000000003,11,0.017,1,3.426,12,2.2840000000000003,9,,,2.2840000000000003,9,0.856,5,,,0.856,5,3.0660000000000003,10,,,3.0660000000000003,10,0.106,1,,,0.106,1,0.21,1,,,0.21,1,0.18,1,,,0.18,1,0.351,2,,,0.351,2,,,,,,,,,,,0.246,1,,,0.246,1,17.258000000000003,56
66,IDFC - Home Loan and LAP,0.14,1,0.29000000000000004,2,0.43000000000000005,3,9.026,13,,,9.026,13,4.382000000000001,8,,,4.382000000000001,8,5.553999999999999,12,0,1,5.553999999999999,12,4.392,17,,,4.392,17,7.331,9,0.105,3,7.436,12,10.335000000000003,20,,,10.335000000000003,20,5.1,12,,,5.1,12,5.914,13,,,5.914,13,2.281,8,,,2.281,8,2.645,9,,,2.645,9,,,,,,,,,,,0.08299999999999999,2,,,0.08299999999999999,2,57.577999999999996,117
67,IDFC BANK LIMITED,,,,,,,,,,,,,,,,,,,2.325,1,,,2.325,1,1.695,1,,,1.695,1,0.039,1,,,0.039,1,,,,,,,0.04,1,,,0.04,1,,,,,,,0.27,1,,,0.27,1,,,,,,,,,,,,,,,,,0.02,1,,,0.02,1,4.389,5
68,IDFC BANK LIMITED - Working Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,,,0.5,1,,,,,,,,,,,,,,,,,0.5,1
69,IDFC FIRST BANK,,,,,,,1.167,1,0.515,2,1.6820000000000002,3,2.493,6,,,2.493,6,3.8440000000000003,5,,,3.8440000000000003,5,6.024,3,,,6.024,3,3.06,2,0.3,1,3.36,3,0.6,1,,,0.6,1,0.45,1,,,0.45,1,0.235,1,,,0.235,1,0.26,1,,,0.26,1,0.39,1,,,0.39,1,,,,,,,,,,,,,,,,,19.337999999999997,24
70,IDFC FIRST BANK(Unsecured),,,,,,,0.22899999999999998,3,0.295,2,0.524,5,0.275,1,,,0.275,1,0.494,4,,,0.494,4,0.104,2,,,0.104,2,0.24,3,,,0.24,3,0.198,3,,,0.198,3,0.105,3,,,0.105,3,0.055,1,,,0.055,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.995,22
71,India Infoline Finance Ltd (Unsecured BL Team),,,,,,,0.181,2,,,0.181,2,0.015,1,,,0.015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.196,2
72,Indiabulls Finance Company Pvt Ltd (LAP & HL),,,,,,,,,,,,,0.348,3,,,0.348,3,0.122,1,,,0.122,1,0.18,2,,,0.18,2,0.16,1,,,0.16,1,,,,,,,0.5589999999999999,4,,,0.5589999999999999,4,0.15,1,,,0.15,1,,,,,,,,,,,,,0.033,1,0.033,1,,,,,,,,,,,,,1.5520000000000003,12
73,IndiaShelter Home Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,,,0.2,1,,,,,,,0.202,2,,,0.202,2,,,,,,,,,,,0.1,1,,,0.1,1,0.502,4
74,INDOSTAR CAPITAL FINANCE LIMITED 	,,,,,,,1.532,2,0,1,1.532,2,0.774,1,,,0.774,1,,,,,,,1.429,1,,,1.429,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7350000000000003,4
75,Indusind Bank LAP Team,,,,,,,,,,,,,,,,,,,0.5,1,,,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1
76,Indusind(Home Loan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,1,,,0.15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,1
77,JANA SMALL FINANCE BANK LTD,,,0.202,1,0.202,1,,,0.15,1,0.15,1,,,0.29000000000000004,2,0.29000000000000004,2,2.2710000000000004,3,,,2.2710000000000004,3,,,,,,,0.253,1,,,0.253,1,0.18,1,,,0.18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,1,,,0.67,1,4.016000000000001,10
78,Kotak Bank - Retail / Unsecured,,,,,,,,,,,,,,,,,,,,,0.1,1,0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1
79,Kotak Bank - SME Working Capital Group,,,,,,,,,,,,,0.4,1,,,0.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1
80,KOTAK BANK HL ,,,,,,,11.5,8,,,11.5,8,2.3499999999999996,3,,,2.3499999999999996,3,6.1739999999999995,10,,,6.1739999999999995,10,0.492,2,,,0.492,2,5.219000000000001,9,,,5.219000000000001,9,0.45,1,,,0.45,1,0.342,2,,,0.342,2,1.55,3,,,1.55,3,1.95,1,,,1.95,1,0.346,1,,,0.346,1,,,,,0.5,1,,,0.5,1,0.06,1,,,0.06,1,30.932999999999996,37
81,Kotak LAP ,,,,,,,0.818,1,,,0.818,1,1.475,2,,,1.475,2,0.332,1,,,0.332,1,0.191,1,,,0.191,1,0.52,1,,,0.52,1,1.625,2,,,1.625,2,,,,,,,1.5,2,,,1.5,2,0.284,1,,,0.284,1,,,,,,,,,,,,,,,,,,,,,,,6.745000000000001,9
82,Kotak PL Team,,,,,,,,,,,,,0.06,1,,,0.06,1,0.16699999999999998,3,,,0.16699999999999998,3,0.831,5,,,0.831,5,0.6190000000000001,5,,,0.6190000000000001,5,,,,,,,0.1,1,,,0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7770000000000001,15
83,L&T Finance HL (SME),,,0.141,1,0.141,1,0.72,2,,,0.72,2,3.725,6,,,3.725,6,4.935,5,,,4.935,5,,,,,,,2.018,1,,,2.018,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.539,13
84,L&T Finance LAP (SME),,,,,,,1.24,4,,,1.24,4,,,,,,,,,,,,,0.093,1,,,0.093,1,1.836,5,,,1.836,5,3.1239999999999997,4,,,3.1239999999999997,4,2.4410000000000003,2,,,2.4410000000000003,2,0.159,1,,,0.159,1,0.193,3,,,0.193,3,0.085,1,,,0.085,1,,,,,0.518,1,,,0.518,1,1.0529999999999997,14,,,1.0529999999999997,14,10.742,36
85,LendingKart Finance Ltd,,,0.1,1,0.1,1,,,0.053,1,0.053,1,,,,,,,,,,,,,,,,,,,,,,,,,0.098,1,,,0.098,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.051,1,,,0.051,1,0.302,4
86,LICHFL_HomeLoan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.094,1,,,0.094,1,,,,,,,,,,,,,0.379,2,,,0.379,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.473,3
87,MuthootFincorp(Unsecured),,,,,,,,,,,,,0.021,1,,,0.021,1,,,,,,,0.032,1,,,0.032,1,,,,,,,0.022,1,,,0.022,1,0.065,3,,,0.065,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012,1,0.012,1,0.152,7
88,NeoGrowth Credit Pvt. Ltd,0.06,1,,,0.06,1,0.04,1,,,0.04,1,,,,,,,,,0.309,1,0.309,1,0.05,1,,,0.05,1,0.04,1,,,0.04,1,0.08,1,,,0.08,1,0.08,1,,,0.08,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.659,7
89,OSM - BOB - Bank Of Baroda,,,,,,,2.704,1,,,2.704,1,0.447,1,,,0.447,1,1.429,4,,,1.429,4,3.114,5,,,3.114,5,3.714,6,,,3.714,6,0.073,1,,,0.073,1,1.274,4,,,1.274,4,3.883,5,,,3.883,5,4.16,6,,,4.16,6,,,,,,,,,,,,,,,,,,,,,,,20.798000000000002,33
90,OSM - Finbross Marketing,,,,,,,,,,,,,,,,,,,0.07100000000000001,2,,,0.07100000000000001,2,0.1,1,,,0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171,3
91,OSM - Finwizz Financial Services_BL,,,,,,,,,,,,,,,,,,,,,,,,,0.155,2,,,0.155,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.155,2
92,OSM - Finwizz Financial Services_PL,,,,,,,,,,,,,,,,,,,0.247,4,,,0.247,4,0.041,1,,,0.041,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28800000000000003,5
93,OSM - OSM Capital Advisors Private Limited	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013,1,0.013,1,,,,,,,0.013,2
94,OSM - RKPL,,,0.015,1,0.015,1,0.30800000000000005,7,,,0.30800000000000005,7,0.6510000000000001,9,,,0.6510000000000001,9,2.673,19,,,2.673,19,1.498,20,,,1.498,20,1.765,16,,,1.765,16,0.503,8,,,0.503,8,2.6319999999999997,15,,,2.6319999999999997,15,1.7539999999999998,8,,,1.7539999999999998,8,1.9499999999999997,9,,,1.9499999999999997,9,,,,,,,,,,,,,,,,,,,,,,,13.748999999999995,112
95,OSM Lender,,,,,,,,,,,,,,,,,,,,,0.003,1,0.003,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,1
96,OSMShriAvdhutFinance_HLLAP,,,,,,,,,,,,,,,,,,,0.38,1,,,0.38,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,1
97,Other Lender,,,,,,,3.7659999999999996,53,0.6970000000000001,3,4.463,56,2.0600000000000005,42,0,1,2.0600000000000005,42,3.5309999999999984,36,,,3.5309999999999984,36,1.1699999999999997,16,,,1.1699999999999997,16,0.32799999999999996,8,,,0.32799999999999996,8,1.2340000000000004,25,0.133,1,1.3670000000000002,26,2.5039999999999987,22,0.057999999999999996,2,2.561999999999999,24,0.28200000000000003,6,,,0.28200000000000003,6,0.7850000000000001,11,,,0.7850000000000001,11,0.10099999999999999,2,,,0.10099999999999999,2,,,,,,,,,,,,,,,,,16.648999999999997,227
98,Piramal Capital & Housing Finance,,,,,,,,,,,,,0.657,2,,,0.657,2,0.43,1,,,0.43,1,0.315,1,,,0.315,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4020000000000001,4
99,PNB Housing Finance,,,0.107,1,0.107,1,3.5000000000000004,14,2.5340000000000003,3,6.034,16,4.119,11,,,4.119,11,4.277,16,0.016,1,4.293,17,0.977,6,0.1,2,1.077,7,4.679,15,,,4.679,15,1.5870000000000002,10,,,1.5870000000000002,10,1.5679999999999998,10,0.056999999999999995,3,1.625,13,2.7769999999999997,7,,,2.7769999999999997,7,2.0340000000000003,8,0.226,1,2.2600000000000002,9,2.8819999999999997,8,0.065,1,2.947,9,,,,,,,,,,,0.399,3,,,0.399,3,31.903999999999986,105
100,RBL - RATNAKAR BANK LTD (LAP) ,,,,,,,2.26,2,0.73,1,2.9899999999999998,3,,,,,,,0.84,4,,,0.84,4,4.365,2,,,4.365,2,1.153,4,,,1.153,4,0.708,1,,,0.708,1,1.257,2,,,1.257,2,0.595,1,,,0.595,1,0.256,1,,,0.256,1,3.497,2,,,3.497,2,,,,,,,,,,,0.105,1,,,0.105,1,15.766000000000002,16
101,RBL- THE RATNAKAR BANK LTD (PL Team),,,,,,,0.05,1,,,0.05,1,,,,,,,0.05,1,,,0.05,1,0.07,1,,,0.07,1,,,,,,,0.07,1,,,0.07,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,4
102,RDS Lender,,,,,,,0.32,2,0.12,1,0.44,3,,,,,,,0.25,1,,,0.25,1,1.54,9,,,1.54,9,,,,,,,,,,,,,0.087,1,,,0.087,1,0.11100000000000002,3,,,0.11100000000000002,3,,,,,,,,,,,,,,,,,,,,,,,0.08,1,,,0.08,1,2.5079999999999996,18
103,SBMIndia(HLLAP),,,,,,,0.585,1,,,0.585,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.585,1
104,Shinhan Bank(Secured),,,,,,,0.28,2,,,0.28,2,0.44,1,,,0.44,1,0.465,1,,,0.465,1,0.59,1,,,0.59,1,3.617,4,,,3.617,4,3.26,4,,,3.26,4,,,,,,,0.542,2,,,0.542,2,0.6,1,,,0.6,1,,,,,,,,,,,,,,,,,,,,,,,9.793999999999999,14
105,Shriram City Union Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,1,0.55,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,1
106,Shriram City Union Finance (LAP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.175,2,,,1.175,2,0.7,1,,,0.7,1,,,,,,,0.3,1,1.0799999999999998,3,1.38,4,2.195,4,,,2.195,4,0.323,2,,,0.323,2,,,,,,,,,,,,,,,,,5.773000000000001,13
107,Shriram Housing Finance Ltd,,,0.15,1,0.15,1,5.460999999999999,21,,,5.460999999999999,21,5.113000000000001,21,0.35,2,5.463000000000001,23,5.993,13,,,5.993,13,2.331,11,,,2.331,11,6.811,10,0.18,1,6.991,11,2.4210000000000003,10,,,2.4210000000000003,10,2.886,9,,,2.886,9,2.87,10,0.1,1,2.97,11,2.958,11,,,2.958,11,2.225,3,,,2.225,3,0.15,1,0.15,1,0.142,1,,,0.142,1,,,,,,,40.141000000000005,124
108,ShriramHousingFinance(HomeLoan),,,,,,,,,1.85,1,1.85,1,,,,,,,,,,,,,,,,,,,,,0.3,1,0.3,1,0.55,1,,,0.55,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,3
109,Shubham Housing Development Finance Company ,,,0.496,1,0.496,1,0.149,1,,,0.149,1,0.154,2,,,0.154,2,0.423,3,,,0.423,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.222,7
110,STANDARD CHARTERED BANK - Business LAP and Business Loans,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,1,13.5,1,10,1,,,10,1,,,,,,,0.15,1,,,0.15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.65,3
111,STANDARD CHARTERED BANK - HL and LAP (Individual),,,,,,,,,,,,,,,,,,,,,,,,,0.927,1,,,0.927,1,0.9,1,,,0.9,1,,,,,,,3.8200000000000003,2,,,3.8200000000000003,2,0.4,1,,,0.4,1,4.01,1,,,4.01,1,,,,,,,,,,,,,,,,,,,,,,,10.057,6
112,Standard Chartered Bank - PL,,,,,,,0.021,1,0.06,1,0.081,2,0.184,3,,,0.184,3,0.134,2,,,0.134,2,0.42500000000000004,2,,,0.42500000000000004,2,0.15000000000000002,2,,,0.15000000000000002,2,0.128,2,,,0.128,2,0.128,3,,,0.128,3,,,,,,,0.16499999999999998,3,,,0.16499999999999998,3,0.012,1,,,0.012,1,,,,,,,,,,,0.19,1,,,0.19,1,1.5970000000000002,21
113,Tata Capital Financial Services Ltd (Business Loans),,,,,,,,,,,,,0.252,1,,,0.252,1,,,,,,,0.102,1,,,0.102,1,0.236,3,,,0.236,3,,,,,,,,,,,,,0.03,1,,,0.03,1,0.155,4,,,0.155,4,0.046,1,,,0.046,1,,,,,,,,,,,,,,,,,0.8210000000000001,11
114,Tata Capital Financial Services Ltd (LAP),,,,,,,0.284,1,,,0.284,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,1,,,0.12,1,0.40399999999999997,2
