1,,2021-Apr,,,,2021-Apr Total,,2021-Mar,,,,2021-Mar Total,,2021-Feb,,,,2021-Feb Total,,2021-Jan,,,,2021-Jan Total,,2020-Dec,,,,2020-Dec Total,,2020-Nov,,,,2020-Nov Total,,2020-Oct,,,,2020-Oct Total,,2020-Sep,,,,2020-Sep Total,,2020-Aug,,,,2020-Aug Total,,2020-Jul,,,,2020-Jul Total,,2020-Jun,,,,2020-Jun Total,,2020-May,,2020-May Total,,2020-Apr,,,,2020-Apr Total,,2020-Mar,,,,2020-Mar Total,,Grand Total,
2,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,,,Confirmed,,Not Confirmed,,,,Confirmed,,Not Confirmed,,,,,
3,product,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id,SUM of volume_in_cr,COUNTUNIQUE of loan_ref_id
10,LAP BT,,,,,,,,,,,,,0.152,1,,,0.152,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.152,1
11,LAP Commercial ( New),,,0.327,2,0.327,2,0.105,1,,,0.105,1,1.455,3,,,1.455,3,,,,,,,1.155,3,,,1.155,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0420000000000007,8
12,LAP Commercial (Top-up),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.424,1,,,0.424,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.424,1
13,LAP Loan Salaried,,,,,,,0.772,3,,,0.772,3,0.603,4,,,0.603,4,0.9239999999999999,4,,,0.9239999999999999,4,0.16299999999999998,2,,,0.16299999999999998,2,0.9740000000000001,4,0.3,1,1.274,5,0.412,3,,,0.412,3,0.6829999999999998,5,,,0.6829999999999998,5,0.696,4,0.14,1,0.8360000000000001,5,0.692,4,,,0.692,4,,,,,,,,,,,,,,,,,0.12,1,,,0.12,1,6.479,31
14,LAP New Loan,0.839,2,4.5360000000000005,10,5.375000000000001,12,22.509,37,2.3899999999999997,10,24.899000000000004,46,40.967,47,7.057,5,48.024,52,25.665,54,0.668,4,26.333,57,26.821000000000005,60,,,26.821000000000005,60,26.84099999999999,53,0.249,2,27.089999999999993,55,18.685,44,,,18.685,44,26.201999999999995,61,,,26.201999999999995,61,9.039,26,1.0799999999999998,3,10.119,29,6.360999999999999,16,0.2,1,6.561,17,6.952999999999999,24,0.065,1,7.017999999999999,25,0.47200000000000003,3,0.47200000000000003,3,0.142,1,,,0.142,1,1.2619999999999998,6,,,1.2619999999999998,6,229.003,418
15,LAP Residential ( New),,,,,,,0.55,1,,,0.55,1,,,,,,,,,,,,,0.1,1,,,0.1,1,0.15799999999999997,1,,,0.15799999999999997,1,,,,,,,0.254,1,,,0.254,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.062,3
16,LAP Residential (BT),,,,,,,1.276,1,2.89,2,4.1659999999999995,3,0.98,2,,,0.98,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.145999999999999,4
17,LAP Residential (Top-up),,,,,,,,,,,,,,,,,,,7.2,1,,,7.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,1
18,Leasing (Business),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.683,1,,,7.683,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.683,1
19,NRP/Non-Resident (New),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,1,,,0.17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,1
20,OD,,,,,,,0.197,1,,,0.197,1,1.082,3,,,1.082,3,,,,,,,0.8,2,4,1,4.8,3,1.1,1,,,1.1,1,1.85,3,,,1.85,3,0.747,3,,,0.747,3,0.17,1,,,0.17,1,,,,,,,0.9,2,,,0.9,2,,,,,,,,,,,0.1,1,,,0.1,1,10.946,17
21,Personal Loan Salaried,0.012,1,0.015,1,0.027,2,3.968999999999999,65,0.5189999999999999,5,4.4879999999999995,70,3.3159999999999985,67,0,1,3.3159999999999985,67,3.7659999999999982,69,0.1,1,3.865999999999998,69,4.497999999999999,70,,,4.497999999999999,70,2.757999999999999,47,,,2.757999999999999,47,2.4319999999999995,51,0.133,1,2.5649999999999995,52,2.489999999999999,54,0.057999999999999996,2,2.5479999999999987,56,1.3620000000000003,28,,,1.3620000000000003,28,1.5170000000000001,28,,,1.5170000000000001,28,0.7050000000000001,12,,,0.7050000000000001,12,,,,,,,0.013,1,0.013,1,0.29,3,0.012,1,0.302,4,27.965,499
22,Unsecured Business Loan,0.06,1,,,0.06,1,1.2310000000000003,19,0.053,1,1.2840000000000003,20,0.8200000000000002,11,,,0.8200000000000002,11,1.4070000000000005,19,0.309,1,1.7160000000000004,20,3.4090000000000003,38,,,3.4090000000000003,38,0.18699999999999997,5,0,1,0.18699999999999997,6,0.137,3,,,0.137,3,0.158,4,,,0.158,4,,,,,,,0.333,6,,,0.333,6,0.071,1,,,0.071,1,,,,,,,,,,,0.351,2,,,0.351,2,8.525999999999998,112
23,Unsecured Business/Self-Employed,,,0.151,2,0.151,2,0.9720000000000002,10,0.449,3,1.421,13,0.746,9,,,0.746,9,1.142,9,0.003,1,1.145,10,1.125,7,,,1.125,7,0.921,15,,,0.921,15,0.92,15,,,0.92,15,1.0290000000000001,16,,,1.0290000000000001,16,0.713,9,,,0.713,9,1.204,7,,,1.204,7,0.101,2,,,0.101,2,0.04,1,0.04,1,,,,,,,0.3969999999999999,6,,,0.3969999999999999,6,9.913,109
24,Working Capital Loans,,,,,,,,,1.6,3,1.6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,3
25,Grand Total,1.201,7,6.095000000000001,21,7.296,28,98.04499999999997,322,19.868000000000002,50,117.91299999999998,370,107.82500000000007,353,9.062000000000001,15,116.8870000000001,365,104.26000000000003,357,1.223,14,105.48300000000003,368,91.6700000000001,354,18.31,6,109.98000000000008,359,100.78900000000006,301,1.3639999999999999,10,102.15300000000005,310,80.738,289,0.683,2,81.42100000000002,290,77.96099999999996,277,0.686,11,78.64699999999995,288,57.71599999999998,186,2.899,11,60.614999999999974,197,45.64900000000004,156,0.42600000000000005,2,46.075000000000045,158,37.617000000000004,117,0.139,2,37.75599999999999,119,1.609,17,1.609,17,2.509,8,0.013,1,2.522,9,10.939999999999996,62,0.012,1,10.951999999999996,63,879.3089999999968,2702
